MagpieData avg_dev Column,MagpieData minimum MeltingT,MagpieData avg_dev NdValence,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean NUnfilled,MagpieData mean SpaceGroupNumber,MagpieData minimum NUnfilled,MagpieData avg_dev GSmagmom,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mean Number,MagpieData minimum NValence,MagpieData mode NValence,V0
2.1860113421550094,1519.0,2.1860113421550094,0.0,61.0,49.03478260869565,5.921739130434783,209.17391304347825,2.0,0.7734038540329834,2.1860113421550094,15.833648393194704,2128.0,1849.504347826087,25.01739130434782,3.0,4.0,343
1.445,923.0,1.445,0.0,68.0,64.5,0.65,197.1,0.0,0.107171046,1.105,5.579999999999996,1799.0,1047.3,14.95,2.0,2.0,593
2.1776937618147447,1519.0,2.1776937618147447,0.0,61.0,49.30434782608695,5.913043478260869,209.17391304347825,2.0,0.7734037518023598,2.1776937618147447,15.833648393194704,2128.0,1850.7391304347827,24.8695652173913,4.0,4.0,343
2.43529198732458,923.0,2.7332548664554093,0.0,73.0,53.93191489361702,3.15531914893617,217.57659574468084,0.0,0.218773187005885,1.7047351742870074,11.719502037120874,1728.0,1583.3128723404254,31.874468085106383,2.0,10.0,338
2.382612392390264,923.0,2.62238282495483,0.0,73.0,53.08659793814433,3.278350515463917,218.64948453608247,0.0,0.2228107016048465,2.0777978531193533,10.164735891168032,1811.0,1601.8660824742265,31.62061855670103,2.0,10.0,323
0.18,923.0,0.095,0.0,68.0,63.1,1.5,192.6,0.0,0.0,0.855,2.660000000000005,1345.0,951.5,16.8,2.0,2.0,593
3.363141687177846,923.0,3.584176775090783,0.0,73.0,55.95348837209304,2.704318936877077,210.8571428571429,0.0,0.2771148668005873,1.017096941534862,18.60654959658281,1799.0,1530.1373754152826,29.634551495016623,2.0,10.0,348
1.0738,923.0,0.0768,0.0,73.0,66.01,0.61,195.55,0.0,0.0,0.6912,2.94500000000001,1799.0,958.5635,13.13,2.0,2.0,573
2.578024424074131,923.0,2.57802442407413,0.0,68.0,54.76871880199668,2.1564059900166392,219.3777038269551,0.0,0.2154241870011434,0.8944161284160346,9.205223684319796,1799.0,1594.7579034941762,27.6089850249584,2.0,10.0,298
2.378786268466362,923.0,2.6268466361993834,0.0,73.0,53.14845360824742,3.2577319587628866,218.6082474226804,0.0,0.2154026526517164,2.066957168668296,10.147730895950696,1799.0,1601.0104123711335,31.64123711340205,2.0,10.0,338
3.3984375,923.0,3.3984375,0.0,68.0,62.3125,1.1874999999999998,203.6875,0.0,0.25583366015625,1.484375,13.320312499999988,1799.0,1229.3125,18.6875,2.0,2.0,593
2.378786268466362,923.0,2.6268466361993834,0.0,73.0,53.29278350515464,3.329896907216494,218.6082474226804,0.0,0.2154026526517164,2.066957168668296,10.147730895950696,1799.0,1605.0619587628864,31.713402061855668,2.0,10.0,318
2.448780883605826,923.0,2.7473370567208044,0.0,73.0,53.86199575371549,3.165605095541401,217.46709129511672,0.0,0.2197561227906473,1.7026969766634654,11.86713006162074,1799.0,1585.3801486199573,31.86199575371549,2.0,10.0,298
1.08,923.0,0.095,0.0,73.0,65.45,0.7,195.55,0.0,0.0,0.855,2.94500000000001,1799.0,967.3235,13.4,2.0,2.0,593
1.44,923.0,1.4442,0.0,68.0,62.1,1.07,196.26,0.0,0.107171046,1.3777999999999997,5.747999999999993,1728.0,1035.06,18.25,2.0,2.0,593
3.3044982698961936,923.0,3.3044982698961936,0.0,68.0,64.29411764705881,0.8529411764705882,203.1176470588235,0.0,0.2472227128027682,1.1539792387543253,12.871972318339092,1799.0,1185.529411764706,17.5,2.0,2.0,593
2.360460069444444,1071.0,2.360460069444444,0.0,61.0,50.66319444444444,4.09375,218.29166666666669,2.0,0.216927036646911,2.360460069444444,10.202256944444436,1799.0,1689.09375,31.48958333333333,3.0,10.0,298
2.068611111111111,933.47,3.0402777777777774,0.0,73.0,54.35,3.5916666666666663,218.28333333333333,2.0,0.273811846875,2.014444444444444,10.522777777777778,1768.0,1541.5170833333332,30.90833333333333,3.0,10.0,483
